wall_time,unix_sec,source,event
2026-09-07T15:45:24.501+08:00,1788767124.501859,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:25.551+08:00,1788767125.551871,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:26.601+08:00,1788767126.601860,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:27.601+08:00,1788767127.601902,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:28.651+08:00,1788767128.651848,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:29.652+08:00,1788767129.652136,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:30.657+08:00,1788767130.657274,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:31.701+08:00,1788767131.701805,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:32.702+08:00,1788767132.702171,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:33.751+08:00,1788767133.751960,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:34.801+08:00,1788767134.801912,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:35.803+08:00,1788767135.803274,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:36.851+08:00,1788767136.851937,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:37.901+08:00,1788767137.901871,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:38.951+08:00,1788767138.951859,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:40.001+08:00,1788767140.001818,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:41.001+08:00,1788767141.001849,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
